x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,0,0.00625519,0,0
0,0,1,0,0.00625519,0,0
0,0,2,-0.000492546,0.00625519,0,0
0,0,3,0,0,0.00680297,0
0,1,0,-0.0033428,0.0532517,-0.029442,-0.015493
0,1,1,0.326111,-0.0119394,-0.00540126,0.0149398
0,1,2,-0.000744448,-0.021561,0.0658041,-0.0162479
0,1,3,-0.336968,-0.00735314,-0.019087,-0.0176259
0,2,0,-0.0261034,0.154829,-0.0461885,-0.0287837
0,2,1,0.562533,-0.00237235,0.00331552,0.195321
0,2,2,0.05867,-0.0443478,0.162634,-0.0162947
0,2,3,-0.659695,-0.0230366,-0.0103204,-0.0537793
0,3,0,0.464618,0.933226,0.247444,0.528893
0,3,1,1.49233,0.556716,0.537072,0.888545
0,3,2,0.62872,0.244306,0.926768,0.448123
0,3,3,-0.571156,0.460103,0.516567,0.224239
0,4,0,0.59303,1.11211,0.454537,0.718718
0,4,1,1.68212,0.731035,0.728338,1.11901
0,4,2,0.678561,0.454606,1.11915,0.718947
0,4,3,-0.165189,0.722271,0.718168,0.449391
0,5,0,0.433411,0.557458,0.0233645,0.178651
0,5,1,1.06843,0.174561,0.231358,0.340055
0,5,2,0.174555,0.0228506,0.561294,0.194293
0,5,3,-0.497765,0.233477,0.154056,0.0528437
0,6,0,-0.0290577,-0.00445065,-0.0362632,-0.035987
0,6,1,0.162631,-0.0394146,-0.0292951,-0.0251843
0,6,2,-0.0505554,-0.0546162,-0.0244655,-0.0514025
0,6,3,-0.448256,-0.0320795,-0.0538038,-0.033616
0,7,0,-0.0126095,-0.00627055,-0.0156173,-0.0281813
0,7,1,0.163138,-0.00680297,-0.00118544,-0.00676325
0,7,2,-0.0124553,-0.0160366,0.0142576,-0.00625519
0,7,3,0,-0.00787693,-0.0166443,-0.0188916
1,1,0,-0.00625519,-0.0057074,0,-0.000234764
1,1,1,0.162631,-0.00693984,0,0.00682746
1,1,2,-0.011779,-0.00625519,0,-0.00625519
1,1,3,-0.118849,0,-0.00625519,0
1,2,0,0.0047805,0.122097,-0.0272861,-0.00673127
1,2,1,0.575935,-0.0264923,-0.0162288,0.110479
1,2,2,0.00677213,-0.0161114,0.0695616,-0.022126
1,2,3,-0.638684,-0.0114678,-0.0184455,-0.0218401
1,3,0,0.428791,1.05281,0.239068,0.554816
1,3,1,1.6675,0.548521,0.606385,1.01546
1,3,2,0.594271,0.199944,0.970787,0.349066
1,3,3,-0.766875,0.549239,0.464172,0.169826
1,4,0,0.629403,1.28836,0.449151,0.812912
1,4,1,1.95745,0.84766,0.838631,1.28999
1,4,2,0.768048,0.494458,1.3002,0.820817
1,4,3,-0.578032,0.746884,0.825322,0.367029
1,5,0,0.21778,0.640216,0.0433036,0.279079
1,5,1,1.23028,0.19948,0.3284,0.541426
1,5,2,0.264531,0.0454966,0.630077,0.212068
1,5,3,-0.781707,0.189092,0.258436,0.0214087
1,6,0,0.0217757,0.0237675,-0.00835872,0
1,6,1,0.209221,-0.0138654,-0.0117925,-0.000229572
1,6,2,0,-0.0165158,0.0208905,-0.010867
1,6,3,-0.504435,-0.0130921,-0.0144273,-0.0122756
2,2,0,-0.0218752,0.0465018,-0.0267183,-0.0302047
2,2,1,0.39446,-0.0315854,-0.00750485,0.0576653
2,2,2,0.0391241,-0.0383037,0.00966651,-0.0271694
2,2,3,-0.512885,-0.0332418,-0.020701,-0.0236471
2,3,0,0.551781,1.24452,0.262534,0.659139
2,3,1,2.06926,0.682552,0.709232,1.22302
2,3,2,0.59833,0.230386,1.17555,0.423251
2,3,3,-0.720223,0.593867,0.554706,0.223953
2,4,0,0.863976,1.73513,0.651678,1.06468
