x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,-0.0268173,-0.000959208,-0.00605,-0.0132772
0,0,1,0.168464,-0.00598786,-0.0132133,0.00798195
0,0,2,0,0,0.0069963,0
0,0,3,-0.0111547,-0.00685592,-0.00685592,0.00685592
0,1,0,-0.0374413,0.0073825,-0.0178764,-0.0259439
0,1,1,0.137185,-0.0232608,-0.0172225,0.00910838
0,1,2,-0.00625701,-0.0186274,0.00730776,-0.015613
0,1,3,-0.281517,-0.0275638,-0.00593065,-0.0179227
0,2,0,0.187481,0.559142,0.00265196,0.208307
0,2,1,0.881495,0.0760529,0.223159,0.413309
0,2,2,0.048173,0.0109764,0.354827,0.0220502
0,2,3,-0.674125,0.196843,0.0461816,0.0109233
0,3,0,2.33237,4.23911,1.92197,2.48969
0,3,1,7.81859,2.34683,2.83305,3.45947
0,3,2,2.26476,1.78947,3.07609,1.82128
0,3,3,0.962524,2.46316,1.72657,1.96737
0,4,0,3.4865,65.0003,9.33188,23.4763
0,4,1,77.3647,50.8795,53.9716,64.9924
0,4,2,20.8914,13.486,62.6701,21.9336
0,4,3,5.53089,7.46066,28.9223,6.87616
0,5,0,1.39931,0.26175,0.0638427,0.208889
0,5,1,1.06385,0.209153,0.57194,0.427553
0,5,2,0.173542,0.0605426,0.584526,0.105984
0,5,3,-0.583299,0.486623,0.0585088,-0.0289081
0,6,0,0.0675807,0.343267,0.00409956,0.124243
0,6,1,0.691323,0.120511,0.0691853,0.334435
0,6,2,0.115351,-0.0108332,0.366107,0.104519
0,6,3,-0.624259,0.134781,0.0758376,-0.0149252
0,7,0,-0.00198648,0.0808545,-0.0100161,-0.00902666
0,7,1,0.423564,-0.0128366,-0.0172832,0.145566
0,7,2,-0.00746297,-0.0230409,0.0419288,0
0,7,3,-0.543236,-0.0145238,-0.0164147,-0.0423867
1,0,0,0,-0.000940074,0,0
1,0,1,0,0,-0.0171274,-0.00691806
1,1,0,0.00393106,0.0592782,-0.0127718,0
1,1,1,0.220493,-0.0107433,-0.00838925,0.0679133
1,1,2,-0.00598786,-0.0178764,0.016444,-0.00691806
1,1,3,-0.375405,-0.0139082,0,-7.20131e-05
1,2,0,0.112891,0.46538,0.135394,0.0459865
1,2,1,0.714006,0.283568,0.21044,0.456549
1,2,2,0.91915,0.229552,0.298973,0.353988
1,2,3,-0.738263,0.110125,0.542434,0.164541
1,3,0,2.61236,7.9737,2.09693,2.63373
1,3,1,20.3738,3.56154,3.27467,4.87645
1,3,2,2.39277,2.02057,6.37436,2.63767
1,3,3,0.770296,1.99283,3.10056,1.65186
1,4,0,6.52453,81.1471,6.38501,21.4445
1,4,1,98.4882,64.9328,65.117,83.041
1,4,2,31.04,13.8001,78.4519,22.1415
1,4,3,2.55546,3.31279,38.5966,4.2433
1,5,0,0.79754,0.487019,0.0216705,0.0280957
1,5,1,1.771,0.277256,0.219336,0.697459
1,5,2,0.131584,0.0512497,0.851891,0.201345
1,5,3,-0.889897,0.120322,0.297462,0.0424828
1,6,0,0.0839483,0.299901,-0.0291575,0.0813513
1,6,1,0.731915,0.0541859,0.048033,0.334339
1,6,2,0.00218383,-0.0287184,0.370683,0.0811533
1,6,3,-0.367423,0.0416069,0.0631077,-0.0329196
1,7,0,0,0.0275918,0.00685592,-0.00598786
1,7,1,0.313726,-0.00587795,-0.00685592,0.00698238
1,7,2,-0.010949,-0.0120227,0.00773141,-0.00587795
1,7,3,-0.143974,-0.00598786,-0.0117938,-0.0128254
2,1,0,0,-0.00587795,-0.0127718,-0.0179227
2,1,1,0,-0.00598786,-0.00019104,-0.00587795
2,1,2,0,0,-0.00685592,0.00685592
2,1,3,-0.365196,0,-0.00685592,0
2,2,0,-0.0241076,0.0927505,-0.0161333,-0.0263484
2,2,1,0.507669,0.0360685,-0.0296312,0.0828225
2,2,2,0.846117,-0.0107333,0.0711627,0.0571919
2,2,3,-0.808875,-0.0211548,0.18328,-0.0103802
2,3,0,6.21955,22.8794,3.27586,4.80372
2,3,1,38.6523,9.05426,9.43319,16.7954
2,3,2,24.8079,2.89123,14.4146,6.08832
2,3,3,0.668367,9.16841,2.1108,2.07803
2,4,0,13.214,107.233,11.6374,19.1376
2,4,1,125.853,92.0754,91.741,108.418
2,4,2,46.4839,18.3262,107.805,41.6538
2,4,3,5.85568,16.3841,40.4593,12.5632
2,5,0,0.66453,1.2906,0.305917,0.64537
2,5,1,2.66159,1.17252,0.906871,1.82413
2,5,2,0.813823,0.502706,1.88073,0.788894
2,5,3,-0.623768,0.465302,1.10927,0.305423
