x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,-0.0196887,0.0337101,-0.0253925,-0.0203835
0,1,1,0.306268,-0.0135865,-0.0263325,0.0163995
0,1,2,-0.0159436,-0.014551,0.0374903,-0.0246476
0,1,3,-0.202909,-0.0116833,-0.0236699,-0.0194948
0,2,0,0.0900528,0.347336,0.00720585,0.0381505
0,2,1,0.80858,0.154534,0.0743226,0.264891
0,2,2,0.434152,0.00302685,0.29092,0.141806
0,2,3,-0.471449,0.0807816,0.141897,0.00820823
0,3,0,0.593109,1.09166,0.438909,0.699665
0,3,1,1.64692,0.695887,0.697017,1.08174
0,3,2,0.70154,0.425074,1.07829,0.687079
0,3,3,-0.102958,0.701889,0.689398,0.43657
0,4,0,0.723851,1.15144,0.479811,0.749839
0,4,1,1.71626,0.754559,0.759604,1.1519
0,4,2,0.690216,0.480378,1.15057,0.749444
0,4,3,-0.239335,0.748058,0.751326,0.479878
0,5,0,0.359427,0.132679,-0.0306339,-0.0102602
0,5,1,0.629812,-0.0165889,0.0281689,0.140932
0,5,2,-0.0251219,-0.0298903,0.211567,0.0360458
0,5,3,-0.205401,0.0273638,-0.00318562,-0.0347079
0,6,0,0.0034021,0.0038998,0.00506197,0
0,6,1,0.0995811,-0.0130831,-0.0062724,0.0022386
0,6,2,0,0,0.00905964,-0.000150754
0,6,3,-0.0961775,-0.00470025,-0.00506197,0.00506197
1,1,0,0,0.0449582,-0.0097537,-0.00506197
1,1,1,0.283408,-0.0119121,-0.00107241,0.0126337
1,1,2,0.0404828,-0.0114712,0.00137705,-0.00928638
1,1,3,-0.435438,-0.0158197,-0.0140537,8.84575e-06
1,2,0,0.130646,0.489259,0.0272048,0.200316
1,2,1,0.998414,0.104295,0.145936,0.419134
1,2,2,0.237389,0.0398522,0.415862,0.113723
1,2,3,-0.746199,0.189968,0.112901,0.0374566
1,3,0,0.716542,1.20615,0.470163,0.755026
1,3,1,1.84996,0.748,0.771731,1.19626
1,3,2,0.683426,0.44807,1.19059,0.705843
1,3,3,-0.557843,0.761297,0.697862,0.412194
1,4,0,0.796318,1.33835,0.555849,0.864002
1,4,1,1.99745,0.894813,0.88758,1.3429
1,4,2,0.804413,0.558727,1.34501,0.872333
1,4,3,-0.478669,0.866805,0.872724,0.540391
1,5,0,0.27495,0.244925,-0.0109054,0.0525611
1,5,1,0.979,0.0824308,0.0724243,0.381445
1,5,2,0.0670848,-0.0138521,0.467757,0.0885576
1,5,3,-0.785782,0.0365022,0.119938,-0.00901716
1,6,0,-0.00805076,0.0143205,0,-0.00805076
1,6,1,0.171086,-0.00967232,0,-0.00177883
1,6,2,-0.00506197,-0.00961154,0.0025172,-0.0096204
1,6,3,-0.0961775,-0.00506197,-0.0001963,0
1,7,0,0.00588393,-0.00470025,0,0.00548242
1,7,1,0.0618862,0,0.00506197,0
1,7,2,0,0.00121545,-0.00506197,0.00506197
1,7,3,0,-0.00464152,0.0052882,-0.00468409
2,1,0,0.00511209,0.0815118,-0.0166614,-0.00259574
2,1,1,0.394687,-0.0122239,-0.00799463,0.0281657
2,1,2,-0.00367029,-0.00506197,0.052444,-0.00696901
2,1,3,-0.427376,0.00342456,0,-0.00889756
2,2,0,0.114855,0.561714,0.0115206,0.214719
2,2,1,1.01724,0.198228,0.214878,0.516878
2,2,2,0.205358,0.00712552,0.501696,0.10234
2,2,3,-0.782646,0.146635,0.139937,0.0142556
2,3,0,0.733486,1.56985,0.517533,0.979007
2,3,1,2.56949,0.94541,0.989227,1.55637
2,3,2,0.903831,0.401761,1.48332,0.762537
2,3,3,-0.640604,0.951342,0.529826,0.345788
2,4,0,1.05252,1.81537,0.763346,1.18942
2,4,1,2.70249,1.21339,1.22206,1.8144
2,4,2,1.04531,0.671249,1.80043,1.13159
2,4,3,-0.450176,1.21159,0.949919,0.575912
2,5,0,0.442727,0.455838,0.0289113,0.0505372
2,5,1,1.24467,0.187782,0.157457,0.576984
2,5,2,0.139967,0.0281436,0.679763,0.140671
2,5,3,-0.736268,0.141922,0.242983,0.0366067
2,6,0,-0.00677089,0.0312516,-0.00958782,-0.0172613
2,6,1,0.385088,-0.0194715,-0.0114862,0.00671227
