x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,-0.0081545,-0.000528866,0,0
0,1,1,0,-0.00938852,-0.0081545,-0.000528866
0,1,2,-0.0173115,0,0,0.00938852
0,2,0,-0.0300053,0.0792961,-0.0505719,-0.0313986
0,2,1,0.358269,-0.030484,-0.0273493,0.0778839
0,2,2,-0.0324552,-0.0521623,0.00400955,-0.0187191
0,2,3,-0.486678,-0.0379934,-0.0435009,-0.0555227
0,3,0,0.375393,0.826498,0.109615,0.366522
0,3,1,1.36899,0.400259,0.434426,0.743831
0,3,2,0.428359,0.128049,0.740395,0.355494
0,3,3,-0.832193,0.301556,0.37443,0.0996132
0,4,0,0.446608,1.13579,0.315531,0.573308
0,4,1,1.74428,0.724769,0.712142,1.12994
0,4,2,0.591562,0.392013,1.13976,0.641833
0,4,3,-0.450215,0.528675,0.655385,0.318877
0,5,0,-0.0213388,0.236171,-0.037079,-0.0117446
0,5,1,0.869594,0.0536511,0.0297615,0.2929
0,5,2,0.0552332,-0.0305819,0.368525,0.113058
0,5,3,-0.748502,-0.0151483,0.083701,-0.0456063
0,6,0,-0.0181038,-0.000896541,-0.00938852,-0.025327
0,6,1,0.279008,-0.000830092,-0.0288115,0.0220884
0,6,2,-0.0225198,-0.0170142,-0.0158801,-0.000528866
0,6,3,-0.15551,-0.0170142,-0.00945803,-0.00938852
1,2,0,-0.0232079,-0.0156179,-0.0172561,-0.0232953
1,2,1,0.279008,-0.015177,-0.000760579,-0.00477392
1,2,2,0.0790468,-0.00948849,0.0523399,-0.002509
1,2,3,-0.357354,-0.000760579,-0.0096662,-0.0232079
1,3,0,0.416441,0.893051,0.19056,0.438485
1,3,1,1.45544,0.543959,0.480874,0.9051
1,3,2,0.510422,0.198102,0.901108,0.44452
1,3,3,-0.790362,0.35578,0.430905,0.17492
1,4,0,0.554802,1.33735,0.357975,0.588128
1,4,1,2.08997,0.840561,0.833405,1.35379
1,4,2,0.608528,0.34721,1.34958,0.674386
1,4,3,-0.676112,0.65716,0.576631,0.313913
1,5,0,0.157469,0.184334,-0.0102322,-0.00650317
1,5,1,1.08725,0.0994904,0.0191437,0.490369
1,5,2,0.111748,-0.0145944,0.47316,0.109454
1,5,3,-0.827417,-0.00973493,0.145699,-0.0264914
1,6,0,-0.0081545,0,-0.0079923,0.00938852
1,6,1,0.240578,-0.00299691,-0.00938852,0
1,6,2,-0.0174195,-0.00938852,-0.0147778,-0.0366586
1,6,3,0,0,-0.000830092,0
1,7,0,0,-0.000628836,0,0
1,7,1,0.0844967,-0.000760579,0,-0.0079923
1,7,2,0,-0.0157801,-0.00938852,-0.00981808
1,7,3,0,-0.000345348,0,0
2,2,0,0,-0.0081545,0,-0.000528866
2,2,1,0,-0.00176289,0,-0.0081545
2,2,2,-0.0169313,-0.00938852,-0.00938852,-0.000528866
2,2,3,0,0,-0.00938852,-0.000528866
2,3,0,0.25141,0.894581,0.0353464,0.276222
2,3,1,1.69656,0.27055,0.425775,0.824923
2,3,2,0.39013,0.005535,0.551009,0.113027
2,3,3,-0.902493,0.333998,0.081744,-0.0175084
2,4,0,0.40311,1.84529,0.175092,0.752479
2,4,1,2.92487,1.1021,1.12922,1.8683
2,4,2,0.76134,0.321561,1.81774,0.759593
2,4,3,-0.774929,0.446682,0.715335,0.211683
2,5,0,0.151574,0.425913,-0.036507,0.0344488
2,5,1,1.07128,0.152621,0.100657,0.46382
2,5,2,0.107575,-0.0185511,0.41306,0.127886
2,5,3,-0.71946,0.0835738,0.0753859,-0.0230515
2,6,0,-0.0431206,0.00854393,-0.0349892,-0.0342806
2,6,1,0.164234,-0.0284105,-0.041559,0.0217571
2,6,2,-0.0409021,-0.0356791,-0.0059907,-0.0270532
2,6,3,-0.490326,-0.0364526,-0.0301402,-0.0267065
2,7,0,-0.0316805,0.00938852,0,-0.0081545
2,7,1,0.0844967,-0.0232079,-0.00938852,-0.000528866
2,7,2,-0.000528866,-0.0170142,-0.0170142,-0.00938852
2,7,3,-0.178382,-0.0147778,0,0
3,3,0,0.158552,0.958937,-0.0176994,0.276783
3,3,1,2.87208,0.276583,0.445066,0.865851
3,3,2,0.200997,-0.0301214,0.785636,0.179099
3,3,3,-1.00604,0.0271338,0.15598,-0.0377318
3,4,0,0.229603,2.69455,0.206917,0.457453
3,4,1,4.94128,1.9515,1.30044,3.12287
3,4,2,0.793789,0.311978,3.06364,0.749587
3,4,3,-0.860508,0.385289,0.874393,0.0519159
3,5,0,0.111205,0.266352,-0.0139545,0.0295595
3,5,1,1.04819,0.0455019,0.042471,0.252789
3,5,2,0.0138277,-0.0201483,0.388512,0.00295591
3,5,3,-0.483386,-0.00434257,0.0470879,-0.0230798
3,6,0,0.00938852,-0.0079923,0,0
3,6,1,0.0844967,0.000473442,0,-0.0144839
3,6,2,0.00938852,-0.00938852,-0.0169519,0
3,6,3,0,-0.00938852,0,0.00938852
4,2,0,-0.0182482,0.0069016,-0.00938852,-0.00981808
4,2,1,0.181953,-0.00527546,0,0.00758546
4,2,2,0.111953,0,0,0
4,2,3,0,0,0.0179983,0
4,3,0,0.0938982,2.94591,0.0412462,0.46526
4,3,1,6.79175,0.623722,1.17739,2.02888
4,3,2,0.139659,0.0495451,2.17343,0.0997661
4,3,3,-0.738997,0.683667,0.00973851,-0.0177308
4,4,0,1.04171,5.77011,0.260216,1.15223
4,4,1,9.81119,3.56618,3.51304,6.3438
4,4,2,0.399438,0.0813834,6.18275,1.04537
4,4,3,-0.859892,1.09475,0.457383,0.00956654
4,5,0,0.0462392,0.384913,-0.00828801,0.00420974
4,5,1,1.21542,0.0888543,0.00949617,0.48685
4,5,2,0.0825082,-0.0383029,0.395335,0.0274654
4,5,3,-0.591912,0.0697309,0.00837276,-0.00938852
4,6,0,0,0.00187986,0,-0.00981808
4,6,1,0.279901,-0.0157801,0,0.00938852
4,6,2,-0.0081545,0.00938852,0.0123513,0
4,6,3,0,0.00938852,0,0
4,7,0,0,0.00938852,0,0
4,7,1,0,0.00938852,0,0
4,7,2,0,0,0,0
4,7,3,0,0.00938852,0,0
5,2,0,0,-0.0156179,0,0.00938852
5,2,1,0,-0.00938852,0.0106225,-0.0079923
5,2,2,0.0106225,0,0,0
5,3,0,-0.00981808,4.89989,-0.0238185,0
5,3,1,16.2536,0.872915,0.85197,3.05802
5,3,2,1.5399,-0.0157801,4.10572,-0.00790863
5,3,3,-0.197159,-0.0108204,0.241825,-0.00938852
5,4,0,0.627531,13.7919,0.0634192,1.98695
5,4,1,21.5727,9.13694,9.12562,13.0517
5,4,2,2.3197,0.251381,13.6119,1.7161
5,4,3,-0.391318,0.783789,1.08308,0.129524
5,5,0,0.529784,0.330233,-0.0275774,-0.00938852
5,5,1,1.85454,-0.0050897,0.0375281,0.261888
5,5,2,-0.000528866,-0.0170142,0.201141,-0.00938852
5,5,3,-0.35146,-0.0180764,-0.0160118,-0.0275774
5,6,0,-0.0144408,0.0222328,-0.0232079,-0.0117183
5,6,1,0.311522,-0.00630201,-0.0170142,0.040291
5,6,2,-0.0253424,-0.022363,0.0633226,-0.00106544
5,6,3,-0.356257,-0.00646625,-0.00964944,0
5,7,0,-0.0285766,-0.0079923,-0.0232079,-0.00981808
5,7,1,0,0.0106225,-0.0234443,0
5,7,2,-0.0312456,-0.0232079,-0.00829012,-0.0224812
5,7,3,-0.474979,-0.0180647,-0.0233271,0
6,2,0,0,0.0118113,-0.00938852,-0.0081545
6,2,1,0.103274,-0.00938852,-0.0081545,0
6,2,2,0.612891,0,0,0
6,2,3,-0.178382,-0.0081545,0,0
6,3,0,2.18924,22.2087,0.195033,2.26041
6,3,1,38.7217,6.10496,11.2961,18.3501
6,3,2,4.21659,0.114464,15.4905,1.05101
6,3,3,-0.197159,3.71591,-0.00938852,0.193899
6,4,0,7.27484,31.8852,0.471046,8.85279
6,4,1,49.9785,19.4792,21.4671,32.1648
6,4,2,4.78355,0.329748,32.0088,5.75604
6,4,3,-0.678715,5.55821,2.35612,0.0684094
6,5,0,1.91291,1.1042,-0.00938852,0.239588
6,5,1,11.4251,0.0802753,0.187112,0.805924
6,5,2,0.09091,-0.0108204,1.48177,-0.00938852
6,5,3,-0.177148,0.290263,-0.0101861,-0.00938852
7,3,0,1.01998,35.6967,0.314405,-0.00938852
7,3,1,109.855,15.1671,10.245,38.7328
7,3,2,8.95251,1.41185,45.33,11.4969
7,3,3,-0.488455,-0.00938852,10.1354,-0.00981808
7,4,0,10.7301,76.2342,11.8932,13.0095
7,4,1,118.583,51.8699,48.5027,75.8954
7,4,2,17.9648,9.84119,75.6504,32.5374
7,4,3,-0.130239,7.66906,37.327,7.60118
7,5,0,0.481424,9.70387,0.140061,0.993284
7,5,1,58.8726,0.572192,0.985119,11.635
7,5,2,0.307765,0.0769117,7.90607,0
7,5,3,-0.421688,0.992997,0.315739,0.0564221
