x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,-0.000682118,-0.0154798,0,-0.0113694
0,1,1,0.293871,0,0,0.0297341
0,2,0,0.166725,0.502937,0.110067,0.139084
0,2,1,0.96631,0.250149,0.125499,0.378221
0,2,2,1.11914,0.0672739,0.314396,0.47315
0,2,3,-0.202819,0.0997861,0.472969,0.034658
0,3,0,1.43371,1.90635,1.21965,1.45914
0,3,1,2.86782,1.50364,1.48327,1.82689
0,3,2,1.50085,1.21564,1.88889,1.4987
0,3,3,0.572117,1.45179,1.47862,1.19007
0,4,0,1.48483,14.0479,2.00088,1.84632
0,4,1,17.7807,11.6364,12.1071,14.5699
0,4,2,3.47414,2.59168,14.0776,4.78058
0,4,3,1.23499,7.26077,2.07449,1.84784
0,5,0,0.923298,0.048986,-0.00552565,0
0,5,1,0.874457,-0.0254608,0.217223,-0.0192189
0,5,2,-0.00235568,-0.0112777,0.367937,-0.0261671
0,5,3,-0.437557,0.0494425,0.0756064,-0.0091877
1,1,0,-0.0113694,0.0289877,0,0.0154798
1,1,1,0.139318,0,-0.0113694,0.0154798
1,2,0,0.108946,0.53168,0.118536,0.162884
1,2,1,0.85744,0.0383552,0.285623,0.439355
1,2,2,0.142589,0.0901326,0.1996,0.063424
1,2,3,-0.844017,0.252091,0.0991783,0.0897762
1,3,0,1.18584,2.01617,0.837288,0.890592
1,3,1,4.5876,1.30965,1.29611,1.91367
1,3,2,1.32117,0.79821,1.77135,1.10811
1,3,3,-0.223317,1.05156,1.14429,0.87115
1,4,0,1.979,19.516,2.38867,2.13018
1,4,1,25.0135,14.4974,15.8597,19.8618
1,4,2,6.31624,2.40954,19.628,7.02412
1,4,3,0.28298,2.12604,7.71841,2.87433
1,5,0,1.05438,0.120522,0.142053,0
1,5,1,0.434879,0,0.0870044,0.0502626
1,5,2,-0.0154798,0.039564,0,-0.0138281
1,5,3,-0.215552,0.476186,0,0.0340451
2,1,0,0,-0.0113694,0.0154798,-0.0113694
2,1,1,0,-0.0154798,0.0154798,0
2,1,2,0.0301989,0,0,0
2,1,3,0,-0.0113694,0,0.0154798
2,2,0,0.199518,0.606902,0.00281124,0.123158
2,2,1,0.925938,0.321484,0.183509,0.654591
2,2,2,0.231245,0.00810473,0.688635,0.0149619
2,2,3,-0.949317,0.125349,0.254112,-0.0262629
2,3,0,1.21138,4.24794,0.891945,0.992482
2,3,1,7.9391,1.93581,1.67255,2.81906
2,3,2,4.1669,0.851259,1.62915,0.965898
2,3,3,-0.248764,1.94301,0.905858,0.8468
2,4,0,3.12808,29.0149,7.94772,14.8768
2,4,1,35.8246,24.2771,22.9994,28.819
2,4,2,3.80466,4.64274,29.5623,2.48563
2,4,3,2.17469,17.7315,0.908853,1.68326
2,5,0,0.394157,0,0,0
2,5,1,0.170277,-0.0154798,0,0
2,5,2,0,0.0154798,0,0
2,5,3,0,0.0154798,0,0
3,2,0,-0.049916,0.210641,-0.0330001,-0.0283798
3,2,1,0.703926,-0.00734842,-0.0193683,0.0726153
3,2,2,0.123888,-0.040531,0.0716473,-0.0539617
3,2,3,-0.684404,-0.0256098,-0.0278693,-0.017374
3,3,0,0.66121,3.91294,0.364123,0.710502
3,3,1,11.6666,5.6191,1.70518,5.56706
3,3,2,18.5084,0.315186,6.90088,0.810545
3,3,3,-0.342048,0.480562,1.34027,0.093885
3,4,0,1.82101,42.0719,6.40053,13.0583
3,4,1,51.9846,35.8345,35.9116,41.3302
3,4,2,10.6743,7.93446,42.1777,22.8384
3,4,3,2.13777,2.96643,24.5784,0.428466
4,1,0,-0.0302774,0.0119175,-0.0299543,-0.0159507
4,1,1,0.143428,-0.0149472,-0.0154798,0
4,1,2,-0.00677253,-0.00781139,0.0327919,-0.0168676
4,1,3,-0.325075,-0.0168293,-0.014622,-0.029186
4,2,0,-0.0386398,0.11806,-0.0220567,-0.0159507
4,2,1,0.522789,-0.017374,-0.0141612,0.171849
4,2,2,-0.010278,-0.0259834,0.14272,0
4,2,3,-0.319873,-0.0154798,-0.00560361,0
4,3,0,4.65035,16.3787,4.64682,1.712
4,3,1,9.86851,30.6734,1.76223,4.5418
4,3,2,44.5112,11.0182,9.71382,10.1539
4,3,3,2.84334,1.4295,21.5596,4.53682
4,4,0,11.2866,62.3588,16.8673,30.5491
4,4,1,76.1397,53.0829,52.1229,62.3141
4,4,2,47.9215,18.475,63.4985,42.7393
4,4,3,10.3131,38.3601,20.8181,13.9438
4,5,0,0,0.304063,-0.000715563,0.104893
4,5,1,1.01936,0.367033,0.129387,0.509271
4,5,2,0.185355,-0.0468951,0.688263,0.180095
4,5,3,-0.775311,-0.0372872,0.272171,0.0179867
5,2,0,-0.0161318,-0.0192189,-0.0356968,-0.0263482
5,2,1,0.488195,0.0365267,-0.0233293,0.202035
5,2,2,-0.0263482,-0.0306026,0.255581,-0.0366896
5,2,3,-0.5494,-0.0251563,-0.0402147,-0.0302774
5,3,0,0.184931,5.60159,0.0486133,0.0413225
5,3,1,1.72727,19.7263,0.200207,0.454542
5,3,2,51.2811,-0.0154798,0.754163,0
5,3,3,-0.294116,0.483912,0,0
5,4,0,5.11579,92.7974,47.8315,55.2698
5,4,1,112.246,78.1463,77.922,89.063
5,4,2,49.8708,30.4768,90.0774,60.8722
5,4,3,-0.263994,55.1172,67.7578,1.14514
5,5,0,0.0242091,0.467476,-0.0240539,0.112582
5,5,1,11.9355,0.514785,0.115436,2.16516
5,5,2,0.560789,-0.0272741,3.1146,0.0109242
5,5,3,-0.542105,0.0154239,0.0333334,-0.0242873
6,2,0,-0.0154798,0.0916785,-0.0151972,-0.0154798
6,2,1,0.42205,-0.0154798,0.0154798,0.131667
6,2,2,0,-0.00479247,0,-0.0113694
6,2,3,-0.331755,-0.0167542,-0.0113694,0
6,3,0,0.203957,1.77241,-0.0220567,0
6,3,1,1.17259,13.3062,0.180846,0.0647348
6,3,2,54.1517,0,0.889089,12.8785
6,3,3,-0.320965,0,1.40057,-0.0113694
6,4,0,3.26979,132.986,57.375,24.864
6,4,1,166.215,112.77,114.32,128.846
6,4,2,87.452,50.6983,129.97,99.0023
6,4,3,38.3414,104.25,35.7022,22.5075
6,5,0,0.663854,13.962,-0.00380063,0.675306
6,5,1,30.9653,9.48005,6.23627,15.6288
6,5,2,0.115912,-0.0086998,19.7385,0.0368329
6,5,3,0,0.0557446,4.60185,0
7,2,0,0.0154798,-0.0154798,0,0
7,2,1,31.22,-0.0154798,0,0.0564054
7,2,2,0,0,0.0154798,0
7,3,0,5.07911,29.4414,1.44078,9.38809
7,3,1,0.276426,56.4497,5.96524,19.2008
7,3,2,114.219,6.47308,12.0106,3.99734
7,3,3,0.698083,7.18979,29.8799,-0.0154798
7,4,0,68.091,200.457,73.9679,137.648
7,4,1,246.885,172.2,170.823,198.298
7,4,2,153.092,55.329,204.401,136.552
7,4,3,14.502,142.351,57.8088,0
7,5,0,46.6044,0,11.829,5.93261
7,5,1,91.0701,34.2551,3.43508,0.0981933
7,5,2,21.5076,8.40205,64.29,15.7952
7,5,3,1.51627,0.480031,36.0701,4.30855
7,6,0,1.36217,0,0.0154798,0
7,6,1,31.1223,0,-0.0154798,0
7,6,2,0,0,8.25913,0
7,6,3,-0.294116,-0.0113694,0,0
