x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,0,-0.00597467,0,0.00597467
0,0,1,0.0537721,0.00597467,0,-0.00526925
0,0,2,0,0,0.00668009,0
0,1,0,-0.0211151,-0.0152464,-0.0212778,-0.0118575
0,1,1,0.214629,-0.0172661,-0.0245063,0.0392218
0,1,2,0.00668009,-0.0119331,0.0255987,-0.0137729
0,1,3,-0.131434,-0.0175198,-0.0137218,-0.0290445
0,2,0,-0.0197942,-0.0143844,-0.0261152,-0.0298953
0,2,1,0,-0.00597467,0.000612614,0
0,2,2,-0.0106143,-0.0212727,0,0.00597467
0,2,3,-0.18733,-0.0303775,-0.0139941,-0.0119408
0,3,0,1.07022,1.9947,0.860455,1.02123
0,3,1,2.61104,1.42434,1.16242,1.8546
0,3,2,2.30852,0.679765,1.4861,1.08365
0,3,3,-0.0678381,0.893965,1.36765,0.454133
0,4,0,1.81165,267.454,2.17536,4.35563
0,4,1,1716.85,74.9939,26.4697,297.349
0,4,2,3.42053,2.49617,498.61,4.1766
0,4,3,1.29518,3.95033,3.24164,2.13948
0,5,0,0.135836,0.103479,-0.0173812,-0.00582385
0,5,1,0.607236,-0.00546266,0.0120988,0.222519
0,5,2,-0.0105261,-0.0242206,0.176062,-0.0159224
0,5,3,-0.223724,-0.0139229,-0.0113072,-0.0267572
1,0,1,0,0.00597467,0,0
1,0,2,0.00597467,0,0,0
1,1,0,0.00597467,-0.00597467,-0.00597467,0
1,1,1,0,-0.00526925,0,-0.00598217
1,1,2,0.00597467,-0.01053,0,-0.00526925
1,1,3,-0.127088,-8.51344e-06,0,-0.00526925
1,2,0,-0.00405212,0.0378853,-0.00517103,-0.0168793
1,2,1,0.197832,-0.00517437,-0.00811006,0.0336503
1,2,2,-0.0107395,9.40821e-05,0.0100796,0
1,2,3,-0.124665,0.000850412,-0.0151517,-0.00972416
1,3,0,0.695299,2.02737,0.385044,0.5088
1,3,1,2.79727,0.935665,1.07393,1.36609
1,3,2,0.852589,0.444727,1.73825,0.737708
1,3,3,-0.460033,0.391944,0.97533,0.172664
1,4,0,1.50018,613.095,1.6628,5.74497
1,4,1,1804.44,26.2543,125.423,132.294
1,4,2,6.74967,2.2878,222.172,3.73725
1,4,3,0.365478,1.49214,5.87886,1.29398
1,5,0,0.455839,0.49655,-0.00558867,0.173321
1,5,1,1.10969,0.229023,0.230939,0.68509
1,5,2,0.111059,0.00433132,0.691388,0.166122
1,5,3,-0.696512,0.177322,0.153759,0.00696814
1,6,0,0.00772318,0.0216059,-0.00975224,-0.0122539
1,6,1,0.149817,-0.0191627,-0.0115629,0
1,6,2,-0.0346011,-0.0161182,-0.00597364,-0.0112364
