x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,-0.00931626,0.0460265,-0.0127314,-0.00689796
0,0,1,0.18328,-0.0178023,-0.00496415,0.0110224
0,0,2,0.0210868,-0.00683255,0.0228202,0
0,0,3,0,-0.0122858,0,-0.00689796
0,1,0,0.0430723,0.234821,-0.0227185,0.0299258
0,1,1,0.666504,0.0771744,0.0412231,0.196063
0,1,2,0.0890659,-0.0279965,0.289843,0.0345901
0,1,3,-0.559445,0.0449608,0.0190238,-0.0244819
0,2,0,0.285303,0.747594,0.225625,0.168647
0,2,1,1.30215,0.579456,0.266669,0.597081
0,2,2,1.567,0.229992,0.541022,0.537188
0,2,3,-0.56279,0.297916,0.609058,0.226238
0,3,0,5.89466,11.7697,2.59875,5.22238
0,3,1,22.9448,9.53774,3.88133,8.62593
0,3,2,28.2396,2.91342,4.82074,3.2118
0,3,3,1.59119,3.86059,8.36331,2.37869
0,4,0,10.8774,59.7423,31.4274,43.8894
0,4,1,66.1088,53.4216,54.2649,58.7214
0,4,2,44.7613,37.9341,59.2868,48.8108
0,4,3,17.4766,33.635,49.1695,21.7607
0,5,0,3.00886,1.286,1.36133,1.85983
0,5,1,2.1054,1.1765,2.08691,1.52003
0,5,2,1.09685,1.21214,1.74245,1.1588
0,5,3,0.718161,2.05214,1.11968,1.32555
0,6,0,0.181401,0,-0.007564,0
0,6,1,0.123152,-0.0127491,0.00683255,0
0,6,2,-7.57598e-05,-0.0401311,-0.0232269,-0.0222459
0,6,3,-0.174379,-0.0170005,-0.032229,-0.0398417
1,0,0,0,-0.0169489,-0.00849655,-0.0119907
1,0,1,0,-0.0139717,0.00066492,-0.0118143
1,0,2,0.0528691,-0.00683255,-0.000850185,-0.00683255
1,0,3,-0.540365,-0.0127314,-0.0118735,-0.0194228
1,1,0,0.0665665,0.367611,0.0310871,0.029756
1,1,1,0.913038,0.228984,0.144757,0.386989
1,1,2,0.121957,-0.0109792,0.532291,0.179575
1,1,3,-0.759395,0.0485828,0.171747,-0.00357042
1,2,0,0.602624,1.17616,0.143858,0.6025
1,2,1,1.64632,0.366064,0.594673,0.920604
1,2,2,0.409464,0.123186,0.630585,0.15648
1,2,3,-0.665379,0.624221,0.104934,0.131416
1,3,0,15.6679,10.222,45.2507,15.8168
1,3,1,12.1028,45.1933,8.53679,14.4
1,3,2,64.8279,23.32,21.6114,41.793
1,3,3,8.73532,17.5352,55.5992,26.3148
1,4,0,34.6055,77.0329,56.0312,62.6489
1,4,1,85.1622,69.8726,70.0388,76.4521
1,4,2,62.8111,53.8767,76.7024,62.7417
1,4,3,36.2848,67.3152,42.7956,44.6206
1,5,0,2.1669,1.57655,0.834078,1.29427
1,5,1,2.46165,1.33368,1.44102,1.92174
1,5,2,1.21791,0.611431,2.00619,1.28247
1,5,3,-0.227748,1.38522,0.920013,0.772238
