x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,0,-0.00244985,0,-0.0190482
0,1,1,0.0429802,-0.00440948,-0.00901807,-0.00125768
0,1,2,0.00473305,-0.00473305,-0.00125768,-0.00435034
0,1,3,0,0,0,0
0,2,0,-0.0186089,0.00434974,-0.0165131,-0.00479747
0,2,1,0.194409,0.00473305,-0.0125891,0.0076531
0,2,2,-0.00479219,0,-0.0121683,-0.00901807
0,2,3,-0.270533,-0.00917808,-0.00473305,-0.00473305
0,3,0,0.310234,0.893157,0.0847806,0.389781
0,3,1,1.43686,0.236714,0.420672,0.635539
0,3,2,0.435529,0.00398503,0.548398,0.0486263
0,3,3,-0.394209,0.274872,0.134127,0.00998877
0,4,0,0.596587,2.20023,0.670749,0.771228
0,4,1,10.7042,2.98122,1.65839,5.45061
0,4,2,1.12874,0.712247,6.20308,1.39222
0,4,3,-0.317592,0.947615,1.30859,0.60077
0,5,0,-0.0127929,-0.0157495,-0.0143153,-0.0094591
0,5,1,0.258016,-0.0157622,-0.00552617,0.016446
0,5,2,-0.0164096,-0.0108346,0.0192213,-0.0219781
0,5,3,-0.266323,-0.0171479,-0.0175675,-0.0279721
0,6,0,-0.0154655,-6.53216e-05,-0.00473305,-0.00435034
0,6,1,0,-0.00435034,-0.00473833,0.00473305
0,6,2,-0.0183518,0,0,0.00473305
0,6,3,0,0.00511577,0,0
0,7,0,-0.00479219,0,-0.00940078,-0.0122373
0,7,1,0.167503,-0.00413702,-0.00440948,0
0,7,2,-0.00456489,0,0.0121618,0
0,7,3,-0.089928,-0.00473305,-0.00884991,-0.00473305
1,2,0,-0.00946431,0.00809858,-0.016424,-0.00940078
1,2,1,0.205874,-0.00435034,-0.00900616,0.0143366
1,2,2,0.00473305,-0.0122426,0,-0.00828887
1,2,3,-0.270538,-0.0170618,-6.53216e-05,-0.00435034
1,3,0,0.133292,0.89782,-0.0191019,0.294021
1,3,1,1.84566,0.378711,0.311344,0.972432
1,3,2,0.232479,-0.0211823,0.921388,0.0746308
1,3,3,-0.686374,0.132602,0.0662764,-0.0265194
1,4,0,0.376586,6.48395,0.328345,0.668752
1,4,1,15.4872,2.796,2.29861,6.2037
1,4,2,1.02964,0.369268,7.2698,0.929891
1,4,3,-0.720975,0.432618,1.12047,0.15651
1,5,0,0.0181395,0.211667,-0.0185285,0.00433255
1,5,1,0.617714,0.0585833,0.0182071,0.141211
1,5,2,0.0159497,-0.0250866,0.245921,0.0322807
1,5,3,-0.410826,0.0119861,0.019293,-0.024422
1,6,0,0.00542113,0.0332077,0,0
1,6,1,0.318702,-0.0167708,0.000918706,-0.000811592
1,6,2,-0.00867158,-0.0160531,0.0224596,-0.00473982
1,6,3,-0.270847,-0.00917308,-0.00375501,-0.0129459
