x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,0,0.00506197,0,0
0,0,1,0.0651844,0,0,0
0,1,0,-0.0315516,0.0418568,-0.0265436,-0.0217013
0,1,1,0.444431,-0.00599559,-0.0282963,0.0333183
0,1,2,0.00249814,-0.0114148,0.0360824,-0.0172933
0,1,3,-0.398716,-0.024081,-0.0259669,-0.0407952
0,2,0,0.169416,0.559246,0.0197924,0.249244
0,2,1,1.02085,0.107405,0.222701,0.517264
0,2,2,0.226677,0.00207834,0.398071,0.0895384
0,2,3,-0.313458,0.211549,0.0792055,0.0148855
0,3,0,0.661586,1.10651,0.41952,0.692274
0,3,1,1.70909,0.681704,0.67963,1.07908
0,3,2,0.646917,0.389664,1.07155,0.598547
0,3,3,-0.567791,0.693373,0.590199,0.388761
0,4,0,0.724924,1.1291,0.481529,0.749932
0,4,1,1.71626,0.745755,0.745841,1.13298
0,4,2,0.74739,0.480868,1.13149,0.748368
0,4,3,-0.0529587,0.749778,0.750107,0.481728
0,5,0,0.261404,0.25885,-0.0303595,0.038021
0,5,1,0.83199,0.0300187,0.0619488,0.21837
0,5,2,0.00727085,-0.0321479,0.302077,0.018189
0,5,3,-0.480134,0.0487116,0.00358088,-0.0348376
0,6,0,0.00785829,0.00917025,-0.00924976,-0.016207
0,6,1,0.173337,0,-0.01272,0.00205386
0,6,2,-0.000150754,-0.0171127,-0.00249564,-0.00470025
0,6,3,0,-0.0127946,-0.0100546,-0.00892466
1,0,0,-0.00506197,0.0192121,-0.0102819,-0.0174056
1,0,1,0.263626,-0.0199918,-0.0213651,0.0398986
1,0,2,-0.00315557,-0.0215462,0.040525,-0.0120868
1,0,3,-0.365695,-0.0146794,-0.0208617,-0.0150054
1,1,0,-0.0369621,0.0460423,-0.0254158,-0.0335196
1,1,1,0.370746,0.00149014,-0.0332349,0.0987106
1,1,2,0.0201364,-0.0388414,0.125231,0.00820453
1,1,3,-0.647708,-0.0175833,-0.00227436,-0.0316788
1,2,0,0.242709,0.718522,0.0308678,0.310865
1,2,1,1.19089,0.246192,0.345918,0.572222
1,2,2,0.212267,0.0829797,0.599031,0.152526
1,2,3,-0.899156,0.296181,0.216796,0.0204895
1,3,0,0.70894,1.3421,0.439057,0.811314
1,3,1,2.09679,0.766693,0.829808,1.21332
1,3,2,0.765065,0.376995,1.24146,0.631926
1,3,3,-0.627289,0.79078,0.69659,0.423144
1,4,0,0.856462,1.29617,0.56201,0.866461
1,4,1,1.99745,0.860596,0.851564,1.29692
1,4,2,0.806467,0.561756,1.29945,0.869188
1,4,3,-0.470299,0.862294,0.858657,0.549183
1,5,0,0.196858,0.48637,-0.0111224,0.0875762
1,5,1,1.06144,0.148926,0.148216,0.393684
1,5,2,0.0733799,-0.00628734,0.50122,0.143501
1,5,3,-0.593363,0.0649069,0.122256,-0.00528837
1,6,0,0.00495374,-0.00108309,-0.020994,-0.0257765
1,6,1,0.142173,-0.0188843,-0.0133464,0.000205542
1,6,2,-0.0126857,-0.0139784,0.0093677,-0.015794
1,6,3,-0.435494,-0.0171901,-0.00843293,-0.0182048
2,1,0,0.00542168,0.0315366,-0.0272972,-0.0156755
2,1,1,0.207887,-0.00333531,-0.014452,0.0202539
2,1,2,0.00734082,-0.00416207,0.0315103,-0.00755971
2,1,3,-0.54889,-0.0113543,-0.0213075,-0.00983128
2,2,0,0.329137,0.796977,0.0621737,0.32211
2,2,1,1.31952,0.287395,0.337605,0.653015
2,2,2,0.326458,0.0534156,0.667796,0.172347
2,2,3,-0.772154,0.346719,0.2289,0.028628
2,3,0,1.0131,1.88365,0.611424,1.17009
2,3,1,2.8354,1.10165,1.19474,1.77805
2,3,2,1.05233,0.575499,1.73681,0.960538
2,3,3,-0.506122,1.10179,0.956737,0.454175
2,4,0,1.18111,1.72552,0.770991,1.20622
2,4,1,2.70249,1.17988,1.17816,1.76757
2,4,2,0.818535,0.767301,1.76517,1.1258
2,4,3,-0.352564,1.19,1.14183,0.708992
2,5,0,0.467712,0.250123,-0.0212437,0.0744068
2,5,1,1.00137,0.0947002,0.122386,0.419255
2,5,2,0.0635837,-0.0223489,0.400639,0.132491
2,5,3,-0.674189,0.0456704,0.0637388,-0.0174076
2,6,0,0,0,-0.00470025,0.00506197
2,6,1,0,0.000174342,0,-0.00467441
2,6,2,-0.000150754,-0.00506197,-0.00922391,-0.0127214
2,6,3,-0.105894,-0.00506197,0,0.00506197
3,1,0,-0.0174027,0.0150855,-0.0149138,-0.0151507
3,1,1,0.191352,-0.0152194,0.000154852,-0.00634482
3,1,2,-0.0168898,0,0.0147462,-0.00470025
3,1,3,-0.434865,-0.0102725,-0.00506197,-0.00898903
3,2,0,0.248736,0.732432,0.0258825,0.363063
3,2,1,1.24934,0.289624,0.381797,0.674994
3,2,2,0.360655,0.00558861,0.669042,0.128984
3,2,3,-0.796319,0.238048,0.120147,0.00867321
3,3,0,1.59166,3.13976,0.938302,1.62411
3,3,1,4.82908,1.85565,1.91119,3.00216
3,3,2,1.71288,0.786779,2.99348,1.52709
3,3,3,-0.326275,1.6707,1.39789,0.662015
3,4,0,1.98266,2.88806,1.35713,2.08898
3,4,1,4.47032,1.94719,1.96849,2.82704
3,4,2,1.72909,1.33599,2.86751,2.03193
3,4,3,-0.0959081,2.02608,1.80611,1.18483
3,5,0,0.911241,0.239056,-0.0161023,0.0478842
3,5,1,0.909039,-0.000716589,0.165427,0.401911
3,5,2,0.0223477,-0.0179429,0.308979,0.0208684
3,5,3,-0.363923,0.0365457,0.0314948,-0.00520824
4,1,0,-0.0112112,0.063649,-0.0186047,-0.0123874
4,1,1,0.420501,-0.0126131,-0.018961,0.103916
4,1,2,-0.00211126,-0.0146217,0.0607126,-0.0140291
4,1,3,-0.27953,-0.00856613,-0.0189235,-0.0317627
4,2,0,-0.015776,0.188378,-0.0339328,0.007276
4,2,1,1.08158,0.161424,0.00913973,0.304896
4,2,2,1.03751,-0.0233304,0.274426,0.0416271
4,2,3,-0.693266,-0.00929865,0.0952317,-0.0131469
4,3,0,2.89272,6.35532,1.47624,2.53692
4,3,1,9.07557,4.10392,4.20248,6.25412
4,3,2,3.31717,1.15638,6.23325,2.11428
4,3,3,-0.293351,2.28729,3.4613,1.10907
4,4,0,3.07356,5.65616,1.98085,3.47106
4,4,1,8.90292,3.80102,3.7849,5.76028
