x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,-0.0132726,-0.0180947,-0.0285586,-0.00529994
0,1,1,0.128416,-0.0270411,-0.000986756,-0.00643797
0,1,2,-0.00871386,-0.000532977,-0.00556212,-0.0210827
0,1,3,-0.435234,-0.0116121,-0.0213226,-0.0147247
0,2,0,0.054525,0.350916,-0.0429139,0.0365718
0,2,1,0.713676,0.0275136,0.111712,0.259772
0,2,2,0.0602585,-0.0435777,0.206941,0.00989913
0,2,3,-0.502657,0.0412009,0.00425528,-0.0381693
0,3,0,0.419688,0.948442,0.259609,0.467356
0,3,1,1.49754,0.540476,0.520091,0.915478
0,3,2,0.555366,0.271032,0.913447,0.522037
0,3,3,-0.331691,0.48846,0.535583,0.259267
0,4,0,0.597407,1.09848,0.443032,0.715833
0,4,1,1.66422,0.720906,0.719989,1.10173
0,4,2,0.700947,0.451464,1.10294,0.718456
0,4,3,-0.198842,0.711105,0.719655,0.445214
0,5,0,0.115715,0.237728,-0.0305866,0.00875394
0,5,1,0.728018,0.0636712,0.028245,0.208689
0,5,2,0.0369616,-0.0386026,0.294585,0.0438921
0,5,3,-0.653663,0.00451156,0.0580258,-0.034807
0,6,0,0.0117852,0,-0.00514596,-0.00477522
0,6,1,0.0881932,0,-0.00514596,0.00283368
0,6,2,-0.00514596,-0.00514596,-0.00340856,-0.0147308
0,6,3,-0.00528849,-0.00477522,-0.0051574,-0.00905899
1,1,0,0,0,0.000423248,0
1,1,1,0,0.00551669,-0.00514596,0
1,1,2,-0.0051574,-0.00514596,0.0055434,0.00514596
1,1,3,-0.0982618,-0.000197041,-0.00939156,-0.00940576
1,2,0,-0.0262832,0.166378,-0.0373907,-0.0201451
1,2,1,0.734931,0.0113859,-0.0159496,0.216483
1,2,2,0.0209639,-0.0224842,0.21457,-0.00746373
1,2,3,-0.371595,-0.00768727,-0.00538796,-0.0195978
1,3,0,0.505321,1.01201,0.291345,0.600097
1,3,1,1.63507,0.587561,0.616283,0.973429
1,3,2,0.612079,0.16335,0.9724,0.402195
1,3,3,-0.758213,0.573298,0.487137,0.192056
1,4,0,0.692591,1.26723,0.47472,0.727128
1,4,1,1.91821,0.837382,0.835547,1.26913
1,4,2,0.765961,0.438802,1.26888,0.790166
1,4,3,-0.594524,0.750966,0.821999,0.442553
1,5,0,0.0579795,0.156725,-0.0186782,-0.00738885
1,5,1,0.61637,0.0101998,0.00269268,0.0332468
1,5,2,-0.0177405,-0.0346137,0.185147,-3.35447e-05
1,5,3,-0.556257,-0.00963898,0.00854312,-0.0319126
1,6,1,0,0.00514596,0,0
1,6,2,-0.00942972,0,0,-0.000158885
2,1,0,0,0.00514596,0,0
2,1,1,0.167856,-0.00514596,0,0.0107658
2,1,2,0,0,0.00145009,-0.000158885
2,2,0,0.0142048,0.323652,-0.0254904,0.0327622
2,2,1,0.903669,0.0615022,0.0552689,0.348454
2,2,2,0.123208,-0.015364,0.318805,-0.000429655
2,2,3,-0.49966,0.0317717,0.0294511,-0.0125299
2,3,0,0.477912,1.2051,0.241515,0.483867
2,3,1,2.07802,0.622919,0.659798,1.11783
2,3,2,0.605812,0.117724,1.09389,0.417978
2,3,3,-0.746202,0.531318,0.32899,0.132356
2,4,0,0.954872,1.66609,0.594593,1.09125
2,4,1,2.56506,1.13623,1.12381,1.68419
2,4,2,1.05656,0.666243,1.68783,1.13113
2,4,3,-0.395111,0.895513,1.12544,0.588716
2,5,0,0.464088,0.11139,-0.0139538,0.0174158
2,5,1,0.777124,0.0416548,0.0733257,0.192417
2,5,2,0.0530058,-0.0276097,0.30936,0.0414156
2,5,3,-0.494422,0.027169,0.0409556,-0.0295979
3,0,0,-0.0180922,0.00560931,-0.00514596,-0.00529994
3,0,1,0.254342,-0.0180193,0,0
3,0,2,-0.00989016,-0.00514596,-0.000445569,-0.0141114
3,0,3,-0.0977732,0.000529617,-0.00477522,0
3,1,0,-0.0199635,0.0826876,0.00514596,-0.00112023
3,1,1,0.360182,-0.016956,-0.00372598,0.0424297
3,1,2,-0.00610042,-0.0206748,0.0845563,-0.012216
3,1,3,-0.108065,-0.00889219,0.000115316,-0.0135837
3,2,0,0.0247068,0.360119,-0.0269959,0.0422988
3,2,1,0.922986,0.00553164,0.0939164,0.196057
3,2,2,0.0720301,-0.0142062,0.258003,0.0259551
3,2,3,-0.491933,-0.00820127,0.019498,-0.0149315
3,3,0,0.635921,1.95974,0.201332,0.719496
3,3,1,3.8049,0.881535,0.990836,1.75844
3,3,2,0.740545,0.161698,1.69048,0.416748
3,3,3,-0.599952,0.809988,0.287603,0.114475
3,4,0,1.04166,2.70483,0.730461,1.38827
3,4,1,4.21241,1.8165,1.82879,2.70669
3,4,2,1.47525,0.779087,2.70848,1.71577
3,4,3,-0.296709,1.71333,1.05407,0.607579
3,5,0,0.340975,0.123679,-0.0274715,0.0055484
3,5,1,0.759629,0.0601815,0.00648377,0.212706
3,5,2,0.00921339,-0.0134763,0.354164,0.0441759
3,5,3,-0.290723,0.00379274,0.0535612,-0.0133094
3,6,0,-0.0156217,-0.014282,-0.0300425,-0.03003
3,6,1,0.0463136,-0.0326566,-0.00630343,-0.0209512
3,6,2,-0.0351268,-0.0265332,-0.0240098,-0.0308064
3,6,3,-0.372117,-0.0258731,-0.0272203,-0.0241892
3,7,0,0.00514596,0,0,0
3,7,1,0.0878607,-0.000206563,0,-0.00180937
3,7,2,-0.00905899,-0.00936486,-0.00526453,-0.00477522
3,7,3,-0.107668,-0.00514596,0.00551669,-0.00900832
4,0,0,-0.00541241,0.0132626,-0.00514596,-0.0131896
4,0,1,0.254128,-0.0139035,-0.0100145,-0.000784557
4,0,2,-0.00514596,0.00514596,-0.00477522,-0.00528849
4,0,3,-0.0977732,-0.00473037,0,-0.00514596
4,1,0,-0.0170379,0.00525432,0,-0.00490995
4,1,1,0.175817,-0.0137409,0.000908157,0.00118478
4,1,2,-0.00352442,-0.0169877,0.00582664,-0.00528849
4,1,3,-0.108065,-0.00476742,0.00509062,-0.00514596
4,2,0,0.00456655,0.272299,-0.0170123,-0.0163896
4,2,1,0.858761,0.044904,0.0254209,0.256523
4,2,2,0.38123,-0.0327963,0.222101,0.0379405
4,2,3,-0.604435,0.0212317,0.0133856,-0.0175596
4,3,0,1.53657,4.88985,0.404673,1.20728
4,3,1,8.83888,2.21571,2.28692,4.31963
4,3,2,1.73219,0.616629,4.69067,1.59014
4,3,3,-0.596019,0.754376,1.95401,0.207134
4,4,0,3.20274,5.27157,1.76867,3.56262
4,4,1,8.40773,3.68241,3.66484,5.22631
4,4,2,2.78864,1.51627,5.1106,3.62131
4,4,3,0.0609008,3.55899,2.15287,0.940288
4,5,0,1.21707,0.171921,-0.0237879,0.101882
4,5,1,0.618251,0.00577281,0.134878,0.190401
4,5,2,0.00326421,-0.0101695,0.183269,-0.00766156
4,5,3,-0.361597,0.0998701,-0.00714863,-0.0181677
4,6,2,-0.000158885,-0.00806602,0,0
4,6,3,-0.440617,0,-0.00532272,-0.00454552
4,7,0,0,0.00105773,0,0
4,7,1,0.135043,-0.00914926,-0.00503642,-0.00722473
4,7,2,0,0,0.00850926,0
5,0,0,0.00514596,0.00831348,-0.000529617,0
5,0,1,0.250282,-0.00528849,-0.0135709,0.00465588
5,0,2,-0.000158885,0,0.00928033,-0.00477522
5,0,3,-0.195776,0,-0.00514596,-0.0097623
5,1,0,0.00514596,-0.00477522,0,0
5,1,1,0,-0.000132176,-0.00514596,0
5,1,2,-0.00900832,-0.00514596,0.00551669,-0.00900832
5,1,3,-0.0977732,0,0,0
5,2,0,-0.0147212,0.180596,-0.0238189,-0.00468731
5,2,1,0.631127,0.0017935,0.00489188,0.113918
5,2,2,0.831918,-0.0093281,0.0186313,-0.0130757
5,2,3,-0.370294,-0.0102834,-0.0101885,-0.0250995
5,3,0,3.49472,10.7523,0.627129,3.88656
5,3,1,21.0919,5.27885,5.00804,10.7075
5,3,2,2.89694,0.827247,10.1823,2.23466
5,3,3,-0.347876,3.57577,2.83517,0.235822
5,4,0,3.6713,11.8263,0.933478,4.02835
5,4,1,19.092,7.94291,7.89755,11.4573
5,4,2,4.62903,1.39712,11.3759,4.72841
5,4,3,0.371047,2.06784,5.43412,0.561086
5,5,0,1.98283,0,-0.0142743,-0.00989016
5,5,1,0.346096,-0.00553276,0.0396731,0.0329025
5,5,2,0.00182148,-0.010133,0.049365,-0.00279486
5,5,3,-0.0977732,0.124253,-0.00912347,-0.00529994
5,6,2,0,0.00514596,0,0
5,6,3,-0.0973757,0,0,0
6,0,0,-0.000158885,0.00429632,-0.00514596,-0.0136166
6,0,1,0.175817,0,-0.0097623,0.00214277
6,0,3,0,-0.0051574,0,-0.000158885
6,2,0,0,0.0192916,-0.000529617,-0.00477522
6,2,1,0.39306,0.0707902,-0.0166169,0.0446134
6,2,2,2.59042,0,0.0148498,0.0823128
6,2,3,-0.19581,-0.00874431,0.0261806,0
6,3,0,13.9496,34.748,8.79785,11.7594
6,3,1,53.5277,20.4838,23.1426,34.1897
6,3,2,5.14824,5.77974,33.0353,11.2716
6,3,3,3.98601,20.8269,8.05257,6.23758
6,4,0,15.4266,28.1405,3.60419,10.5558
6,4,1,46.3019,18.944,17.4422,27.6014
6,4,2,6.91867,3.66099,28.4305,15.873
6,4,3,0.715758,4.71226,15.1619,2.45011
6,5,0,0.00192182,0.261009,0,0.00192182
6,5,1,3.69443,-0.0125747,0,0.185407
6,5,2,0.0002004,-0.00525033,0.0138291,-0.00903503
6,5,3,-0.359735,0.0031834,0,0
7,0,0,-0.000158885,0,-0.00905899,-0.00514596
7,0,1,10.39,-0.0134722,-0.00477522,0
7,0,2,-0.00513412,-0.00514596,0.00733636,-0.00960792
7,0,3,0,0.00514596,-0.00934521,-0.00477522
7,2,0,-0.00529994,-0.00919291,-0.0097623,-0.00933401
7,2,1,0.0471366,0.349921,-0.00514596,0
7,2,2,9.62563,-0.00514596,0.0059689,-0.00301028
7,2,3,-0.283692,-0.00548998,0,0.00514596
7,3,0,48.321,95.7137,6.65927,52.52
7,3,1,138.64,50.7659,55.4578,82.8195
7,3,2,15.9285,6.34354,83.3408,25.7301
