x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,1,0,0.00486989,-0.00891081,0,0
0,1,1,0.0441837,-0.00486989,0.00520191,-0.00353411
0,1,2,0,-0.00486989,0,-0.00499833
0,1,3,-0.102268,0,-0.00453787,-0.000142295
0,2,0,0.0254013,0.317849,-0.0277908,0.0531276
0,2,1,0.660773,0.0176261,0.0751453,0.274591
0,2,2,0.103736,-0.0331853,0.190178,0.00836454
0,2,3,-0.586906,0.0647316,0.0078166,-0.0410713
0,3,0,0.515105,0.967415,0.27731,0.57272
0,3,1,1.52158,0.473075,0.5607,0.923599
0,3,2,0.471347,0.146467,0.882138,0.369252
0,3,3,-0.260236,0.552104,0.450077,0.207172
0,4,0,0.617074,1.10097,0.438313,0.710277
0,4,1,1.66004,0.716881,0.716225,1.10016
0,4,2,0.69107,0.449009,1.0998,0.710551
0,4,3,-0.136431,0.708847,0.711965,0.445591
0,5,0,0.127333,0.219357,-0.0174655,0.00206022
0,5,1,0.783296,0.0912463,0.015223,0.345
0,5,2,0.0143323,-0.0301134,0.336441,0.049323
0,5,3,-0.690487,0.00268805,0.0405138,-0.0246612
0,6,0,-0.00324851,0.0065709,-0.0104092,-0.0123863
0,6,1,0.201432,-0.00930502,-2.6323e-05,0.0216952
0,6,2,-0.0134923,-0.0206474,0.00281541,-0.00486989
0,6,3,-0.0782267,-0.016001,-0.0130613,-0.0132329
0,7,0,-0.00926547,-0.00453787,-0.000484019,-0.0132957
0,7,1,0,0,-0.000474317,-0.00453787
0,7,2,-0.00453787,0.00486989,-0.00486989,0
0,7,3,-0.00896579,-0.00896579,-0.00453787,-0.000142295
1,1,0,-0.0246935,-0.00511204,-0.0321829,-0.0252145
1,1,1,0.198279,-0.0171921,-0.0258194,-0.00202834
1,1,2,-0.0153981,-0.014371,-0.00206483,-0.025894
1,1,3,-0.34499,-0.0302571,-0.0204019,-0.0292471
1,2,0,-0.00978425,0.167667,-0.0326606,0.00760758
1,2,1,0.562694,-0.0180916,0.0167039,0.0744809
1,2,2,0.0424026,-0.0266965,0.13883,-0.00695125
1,2,3,-0.772051,-0.0144995,-0.00924223,-0.0281372
1,3,0,0.477384,1.03622,0.269502,0.565459
1,3,1,1.70745,0.562225,0.608133,1.01217
1,3,2,0.569035,0.139458,1.00453,0.465013
1,3,3,-0.757339,0.548612,0.493658,0.185058
1,4,0,0.693592,1.25653,0.500119,0.789101
1,4,1,1.90899,0.823762,0.824572,1.25971
1,4,2,0.773332,0.485452,1.26183,0.807727
1,4,3,-0.541459,0.76736,0.81204,0.46042
1,5,0,0.384392,0.262453,-0.0217245,0.0449505
1,5,1,0.788674,0.0394818,0.121429,0.222882
1,5,2,0.0136145,-0.0247063,0.330586,0.0133502
1,5,3,-0.410818,0.0277081,0.0578551,-0.00738295
1,6,0,0.000489683,0.000677702,-0.00952943,-0.0085694
1,6,1,0.0833892,-0.00990593,-0.0083523,-0.00466843
1,6,2,-0.0138734,-0.0179265,-0.00995332,-0.014308
1,6,3,-0.092528,-0.00907214,-0.0133601,-0.0138646
2,0,0,0,-0.000474317,0,0
2,0,1,0,0,-0.00453787,-0.0093814
2,1,0,-0.0253413,-0.00171598,-0.0205044,-0.00881339
2,1,1,0.0840436,-0.0223316,-0.00388133,0.000430408
2,1,2,-0.0167269,-0.017082,0.0023725,-0.00907052
2,1,3,-0.271119,-0.0161557,-0.0134907,-0.00944206
2,2,0,-0.0278934,0.0729346,-0.0362396,-0.0316025
2,2,1,0.600843,-0.0197739,-0.0189319,0.0828042
2,2,2,-0.0218507,-0.0178942,0.0152282,-0.0139772
2,2,3,-0.775404,-0.0149879,-0.0207209,-0.0346524
2,3,0,0.604297,1.33735,0.301326,0.683013
2,3,1,2.33223,0.679112,0.789601,1.25078
2,3,2,0.714478,0.236154,1.19152,0.582879
2,3,3,-0.739435,0.689023,0.512466,0.190055
2,4,0,0.846425,1.67075,0.545989,1.00965
2,4,1,2.54517,1.10769,1.09677,1.66494
2,4,2,0.798715,0.589122,1.67047,1.02066
2,4,3,-0.435324,1.03381,0.966644,0.497046
2,5,0,0.337719,0.371979,-0.00237357,0.0758471
2,5,1,0.907259,0.0805816,0.113314,0.300038
2,5,2,0.0589443,-0.00865925,0.347628,0.0648944
2,5,3,-0.414838,0.111783,0.0127927,-0.00586077
2,6,0,0.0233147,-0.000636825,-0.00965587,-0.00370993
2,6,1,0.159358,-0.0132329,-0.00900406,0.00486989
2,6,2,-0.00486989,-0.0132945,-0.00548827,-0.00499833
2,6,3,-0.277891,-0.0102562,-0.00998391,-0.0135941
3,1,0,-0.00486989,-0.00891081,-0.0049779,-0.00897394
3,1,1,0.0441837,-0.00926547,0.00520191,-0.00451523
3,1,2,-0.00926547,-0.00926547,0,-0.000142295
3,1,3,-0.101913,-0.00503568,-0.00926547,-0.00486989
3,2,0,-0.00170491,0.170091,-0.0340054,0.0108762
3,2,1,0.493605,-0.00949739,0.00370384,0.10985
3,2,2,0.185839,-0.0275155,0.0889834,-0.00246036
3,2,3,-0.346835,0.0090336,-0.00388228,-0.0134076
3,3,0,0.55462,2.24163,0.46673,0.829053
3,3,1,4.17213,0.873644,1.19681,2.01522
3,3,2,0.718753,0.318864,1.78862,0.468078
3,3,3,-0.577546,1.04076,0.479563,0.236574
3,4,0,1.49628,2.70665,0.67857,1.46554
3,4,1,4.17091,1.77242,1.78895,2.71535
3,4,2,0.988844,0.606426,2.68348,1.40218
3,4,3,-0.47301,1.54031,1.19386,0.570987
3,5,0,0.656226,0.245469,-0.0185592,0.0245024
3,5,1,0.899627,0.0673655,0.0663801,0.364004
3,5,2,0.01717,-0.0277208,0.349583,0.0103894
3,5,3,-0.622918,0.125394,0.00882302,-0.0228652
3,6,0,0,-0.00121765,0,-0.00499833
3,6,1,0.0535688,-0.00877604,-0.00486989,-0.00501228
3,6,2,-0.00486989,-0.000474317,-0.00132565,-0.00893345
3,6,3,-0.278253,0,0,-0.0093814
4,2,0,8.19406e-06,-0.00415994,-0.0199894,-0.0173921
4,2,1,0.365746,-0.00939484,-0.00538349,0.00863697
4,2,2,0.201131,-0.00937242,-0.00188169,0.00208763
4,2,3,-0.18546,-0.0102448,-0.0118368,-0.0164073
4,3,0,0.58593,3.63792,0.118823,0.800033
4,3,1,9.04139,2.15826,1.54814,4.51946
4,3,2,1.28473,0.127694,4.72018,0.70094
4,3,3,-0.694418,0.293597,1.29848,0.0389274
4,4,0,2.29351,5.4074,1.33376,2.90075
4,4,1,8.32546,3.61983,3.72878,5.37619
4,4,2,1.84735,1.47158,5.32939,2.57702
4,4,3,-0.313513,3.45489,1.39898,0.916239
