x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,2,0,0,0.107701,-0.0261553,-0.0141713
0,2,1,0.563594,-0.0200224,-0.0138299,0.173521
0,2,2,0.150643,0,0.0767075,0.0427993
0,2,3,-0.380426,-0.00553184,0.046908,-0.0226349
0,3,0,0.615217,1.2522,0.361356,0.630173
0,3,1,2.14011,0.626475,0.637188,1.0977
0,3,2,0.571536,0.315716,1.01624,0.550585
0,3,3,-0.224953,0.691316,0.581028,0.347102
0,4,0,0.685408,1.40672,0.424224,0.648598
0,4,1,2.17031,0.95563,0.909009,1.38201
0,4,2,0.662896,0.424234,1.41357,0.666612
0,4,3,-0.443352,0.597546,0.797468,0.3708
0,5,0,0.264997,0.583462,0.0231042,0.161065
0,5,1,1.25681,0.374073,0.221957,0.606968
0,5,2,0.32405,0.14211,0.732983,0.302908
0,5,3,-0.951071,0.22137,0.371055,0.0768103
0,6,0,0.0711077,0.00446082,-0.0701721,-0.0376394
0,6,1,0.288242,-0.0338417,-0.0531129,0.0133063
0,6,2,-0.0327011,-0.0549492,0.0107704,-0.0552093
0,6,3,-0.0613359,-0.0630691,-0.0432527,-0.0719521
1,1,0,-0.00240538,-0.0200224,-0.024841,-0.0345159
1,1,1,0,0,0.025635,0
1,1,3,0,-0.00532718,0,0
1,2,0,0.0675826,0.459057,0.0440227,0.147865
1,2,1,1.12728,0.153963,0.089706,0.531943
1,2,2,0.196008,0.0303322,0.520437,0.0809241
1,2,3,-0.948944,0.151654,0.127006,0.0157327
1,3,0,0.585199,1.50503,0.390079,0.605745
1,3,1,2.79255,0.757673,0.829451,1.36938
1,3,2,0.62092,0.381968,1.32682,0.63064
1,3,3,-0.622753,0.777137,0.506907,0.148147
1,4,0,0.709244,1.74986,0.548747,1.11831
1,4,1,2.91472,1.16835,1.21604,1.8873
1,4,2,0.90821,0.520787,1.84095,0.791041
1,4,3,-0.622528,1.0676,0.464275,0.377669
1,5,0,0.466896,0.804111,0.225879,0.464867
1,5,1,1.29079,0.465957,0.484014,0.758627
1,5,2,0.341893,0.260795,0.804451,0.460992
1,5,3,-0.808828,0.4325,0.470769,0.249877
1,6,0,0.205529,0.376394,-0.0225898,0.00611426
1,6,1,0.815042,0.127012,0.0914897,0.22346
1,6,2,-0.00780313,-0.0250614,0.365934,0.0632141
1,6,3,-0.414858,0.0932699,0.000825736,-0.0276203
2,2,0,0.139994,0.487429,0.090117,0.188896
2,2,1,0.953967,0.232267,0.216896,0.561389
2,2,2,0.48742,0.0860243,0.450399,0.177027
2,2,3,-0.938774,0.144209,0.239922,0.0775323
2,3,0,0.934785,2.46495,0.621338,1.28712
2,3,1,4.75664,1.36686,1.5514,2.29667
2,3,2,1.03439,0.746056,2.34626,1.08479
2,3,3,-0.365806,1.24338,0.940556,0.547921
2,4,0,1.22082,2.60673,0.695711,0.607705
2,4,1,4.4858,1.89463,1.78283,2.67944
2,4,2,0.969741,0.268932,2.87599,1.23568
2,4,3,-0.567808,1.47079,0.371364,0.488345
2,5,0,0.361949,0.759396,0.122025,0.324058
2,5,1,1.22866,0.467479,0.451725,0.764247
2,5,2,0.383055,0.233641,0.751609,0.445872
2,5,3,-0.835294,0.367729,0.460462,0.159141
2,6,0,0.22271,0,0,0
2,6,1,0.711949,0.0490808,-0.00383299,0.208715
2,6,2,0,-0.0171056,0.258743,0.0354378
2,6,3,0,0,0.0369228,0
3,2,0,0.115836,0.38049,-0.00543128,0.150769
3,2,1,0.849618,0.110255,0.128273,0.406743
3,2,2,0.177276,-0.0452749,0.305392,0.052233
3,2,3,-0.953288,0.146386,0.0330891,-0.00990272
3,3,0,1.46592,5.31573,0.899125,1.83344
3,3,1,9.14272,2.77657,2.12476,4.10876
3,3,2,0.886498,1.27631,4.70622,1.36262
3,3,3,-0.748461,2.3823,1.36469,0.199376
3,4,0,2.59434,4.61895,0.383892,1.46372
3,4,1,7.80161,3.15806,3.14319,4.48733
3,4,2,1.63174,0.299115,4.91223,1.89512
3,4,3,-0.512293,1.73868,0.513215,0.00736938
3,5,0,0.154571,0.642666,0.0680368,0.247051
3,5,1,1.15483,0.293353,0.2971,0.68188
3,5,2,0.240393,-0.0475949,0.700843,0.265549
3,5,3,-0.880209,0.270239,0.0864117,-0.0286619
3,6,0,-0.0435393,0.148448,-0.00801793,-0.0286619
3,6,1,0.605288,0.00838001,-0.0415218,0.220312
3,6,2,-0.0403027,-0.0200224,0.143694,0.00330408
3,6,3,-0.64137,0,-0.0206967,0
4,2,0,0.0908152,0.513874,-0.0366411,0.0188575
4,2,1,1.01429,0.19199,0.196922,0.186472
4,2,2,0.0777015,-0.0317868,0.502455,0
4,2,3,-0.659924,-0.0238906,0.0963986,-0.0385342
4,3,0,1.02017,10.5657,0.626435,2.79478
4,3,1,13.1541,5.03135,5.91465,8.60657
4,3,2,0.491695,1.52225,8.07418,1.90156
4,3,3,-0.117629,3.09415,0.615668,1.38088
4,4,0,4.22783,8.05056,0.0841078,1.1203
4,4,1,14.7997,6.39218,6.15266,9.41214
4,4,2,3.76372,1.61997,9.07522,4.57482
4,4,3,-0.521585,0.037217,3.80392,0.135943
4,5,0,0.0103761,0.514484,-0.0396953,0.233437
4,5,1,1.06693,0.155606,0.205897,0.457591
4,5,2,0.0676145,-0.0323214,0.489703,0.0603436
4,5,3,-0.663587,0.0924027,-0.00160894,-0.0230493
4,6,0,0.0200224,0,0,0
4,6,1,0,0,0.0200224,0
5,2,0,0.00289617,0.363992,-0.0320269,0
5,2,1,4.16314,0.0803792,0.0498205,0
5,2,2,4.20939,0,0,0
5,2,3,-0.380426,0.035008,0,0
5,3,0,6.86557,16.4144,3.07388,10.0006
5,3,1,26.9176,13.3518,12.5019,16.774
5,3,2,1.91631,4.01186,18.048,4.53799
5,3,3,0.089275,9.4489,6.66342,0.96363
5,4,0,2.42925,17.8629,3.33622,9.91208
5,4,1,29.5694,12.5629,11.5677,17.192
5,4,2,10.3674,2.61528,17.3047,7.20811
5,4,3,-0.86022,3.094,8.90216,-0.0258787
5,5,0,0.4488,2.40256,0.0403102,0.844116
5,5,1,6.07363,0.243646,0.24384,2.37754
5,5,2,0.0972749,0.170946,0.47928,-0.00276753
5,5,3,-0.641776,0.905528,0,-0.0152365
5,6,1,0.288242,-0.00465292,0,-0.0128366
5,6,2,-0.0200224,0,-0.0205213,-0.0200224
6,1,0,-0.00240538,-0.0200224,0,-0.0144099
6,1,1,0.404427,0,0,0.0848118
6,2,0,0.0999784,3.6381,-0.0100853,0.118199
6,2,1,16.6877,0.127072,0.26317,3.52127
6,2,2,0,0.0200224,0.479337,0
6,2,3,-0.650623,0.0782752,0.0295458,-0.00240538
6,3,0,7.66089,38.3007,5.71827,4.24621
6,3,1,59.4394,23.5411,22.0627,26.4969
6,3,2,15.8293,3.35425,32.9678,20.9079
6,3,3,2.14802,8.43379,17.7571,3.70061
6,4,0,20.6693,35.3962,10.0832,20.7454
6,4,1,60.7412,25.7313,24.3861,35.3806
6,4,2,4.29469,9.31368,36.8173,5.76758
6,4,3,7.43366,10.6701,21.1246,2.38115
6,5,0,0,0.136081,-0.0320269,0.0200224
6,5,1,24.3805,0.0371463,-0.0144099,0.444305
6,5,2,0.0149766,-0.0278287,0.197589,0.0353644
6,5,3,-0.602563,-0.0264143,0.0149766,-0.0278287
6,6,1,0.469549,0.0200224,0,0
6,6,2,-0.00240538,0,-0.0144099,0
7,1,1,40.3739,0,0,0.0667264
7,2,0,0,11.3596,-0.0200224,0
7,2,1,67.8258,0.0200224,0.0129508,11.2899
7,2,2,26.0872,0,0,0
7,2,3,0,0,3.33955,0
7,3,0,49.2076,82.576,19.4697,36.2712
7,3,1,126.512,51.8884,52.1283,85.7769
7,3,2,18.9722,10.553,77.2931,38.4135
7,3,3,2.84,42.3705,20.8796,14.7589
7,4,0,29.1651,83.1583,6.89486,30.2582
7,4,1,126.53,55.2568,51.3287,85.1397
7,4,2,28.3886,10.4987,80.2517,44.9999
7,4,3,-0.380426,28.8187,21.3823,9.58667
7,5,0,0,21.5881,0,3.15549
7,5,1,52.8447,-0.0264143,3.14492,10.0246
7,5,2,-0.00801793,-0.0200224,0,0
7,5,3,0,0.000982955,0,0.0200224
