x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,-0.0040827,0.00308876,-0.0253239,-0.0166172
0,0,1,0.108826,-0.00381212,-0.00770164,0.00448516
0,0,2,-0.00381212,0,0.00383639,0.0040827
0,0,3,-0.237071,-0.0166931,-0.0040827,-0.0176868
0,1,0,-0.0184335,-0.0109546,-0.0110309,-0.0154564
0,1,1,0.0729236,-0.00788499,-0.0162557,0.00143959
0,1,2,-0.0148022,-0.00408687,-0.00164741,-0.00414036
0,1,3,-0.155417,-0.0124665,-0.0040827,-0.0118464
0,2,0,-0.0233426,0.115615,-0.0343858,-0.0153216
0,2,1,0.559256,-0.00749608,-0.0144211,0.0680986
0,2,2,0.205724,-0.0292064,0.0852663,-0.01136
0,2,3,-0.223824,-0.0204842,-0.00076383,-0.0247444
0,3,0,0.903275,1.51519,0.727378,1.0675
0,3,1,2.04156,1.00477,1.0675,1.48584
0,3,2,1.4066,0.629095,1.46721,0.908284
0,3,3,-0.0243821,1.07551,1.01337,0.682817
0,4,0,1.68593,3.64757,1.85339,2.36275
0,4,1,4.70017,2.89323,2.86932,3.62192
0,4,2,2.71478,2.03916,3.65908,2.76433
0,4,3,1.21535,2.56475,2.85542,1.81003
0,5,0,0.367089,0.184357,-0.0367077,0.0240882
0,5,1,0.715192,0.0393714,-0.00582137,0.118898
0,5,2,0.0434057,-0.0361358,0.26137,0.0749507
0,5,3,-0.33814,0.0467608,0.0330998,-0.0376912
0,6,0,-0.00758355,0.0200416,-0.00783127,0.00116726
0,6,1,0.185832,-0.0218918,-0.00714843,0.027382
0,6,2,-0.0180529,-0.0264355,0.00489547,-0.0294663
0,6,3,-0.199993,-0.0120316,-0.0134665,-0.0212601
0,7,0,-0.0129873,0.0897519,-0.0357138,-0.0125035
0,7,1,0.385712,-0.0178111,-0.0114778,0.076593
0,7,2,-0.0156317,-0.0347158,0.0399231,-0.018257
0,7,3,-0.532879,-0.00860212,-0.0199899,-0.0486225
1,1,0,-0.0105279,0,-0.00439301,0
1,1,1,0.139404,0,0,-0.00170507
1,1,2,0.00928734,-0.00408687,-0.0040827,-0.0040827
1,1,3,-0.0857368,-0.00381212,-0.0100944,-0.00414452
1,2,0,0.092671,0.360608,-0.0128133,0.120816
1,2,1,0.90477,0.0463494,0.075869,0.410524
1,2,2,0.251033,-0.0131811,0.266643,0.0648931
1,2,3,-0.851392,0.0871706,0.0929968,-0.00370189
1,3,0,0.917833,1.54357,0.559768,1.02193
1,3,1,2.01696,1.34512,1.09662,1.46978
1,3,2,2.45736,0.630996,1.43549,0.952395
1,3,3,-0.371001,1.04123,0.851884,0.550793
1,4,0,2.29398,5.17426,2.46629,3.48935
1,4,1,6.69072,4.08783,4.07055,5.18961
1,4,2,3.6906,2.61213,5.17755,3.78535
1,4,3,1.20889,3.86713,3.17573,1.86388
1,5,0,0.803745,0.314893,-0.0131476,0.0543789
1,5,1,0.802875,0.102359,0.129899,0.394614
1,5,2,0.0353092,-0.0303194,0.344205,0.0725127
1,5,3,-0.717309,0.110644,-0.0027279,-0.025388
1,6,0,-0.0040827,0.0439596,0.000220115,-0.0154208
1,6,1,0.29946,-0.0141891,-0.0170194,0.0337965
1,6,2,-0.0106476,-0.0232343,0.0371458,-0.0215443
1,6,3,-0.0854483,-0.0128308,-0.0103841,-0.00810263
1,7,1,0,-0.0040827,0,0.0040827
1,7,2,-0.00758355,-0.00754352,0,-6.27814e-05
1,7,3,-0.0870617,0,0.00435329,-0.00379418
2,1,0,0,-0.00556533,-4.48477e-05,-0.0076144
2,1,1,0.0809635,-0.0129049,-0.0040827,0.00480173
2,1,2,0.0201758,0,0.00705917,0
2,1,3,-0.0854483,-8.4876e-05,0,-0.00379418
2,2,0,-0.0255772,0.204216,-0.0223942,0.0067049
2,2,1,0.844547,0.0212635,0.0102961,0.295798
2,2,2,0.0411664,-0.00580064,0.250014,0.0214539
2,2,3,-0.408205,-0.00127563,0.0376984,-0.0268272
2,3,0,0.417827,1.2746,0.0771862,0.282961
2,3,1,1.99036,0.797476,0.598694,1.16678
2,3,2,2.74314,0.215391,1.04731,0.572915
2,3,3,-0.641986,0.324244,0.771252,0.0652591
2,4,0,1.81541,8.01992,2.61072,3.71537
2,4,1,10.396,6.40995,6.31184,8.12386
2,4,2,4.73145,2.82287,8.11822,4.98508
2,4,3,0.853019,2.29084,5.85715,2.11516
2,5,0,-0.0101558,0.195297,-0.0222189,0.00840843
2,5,1,0.720687,-0.0109091,0.0099946,0.101602
2,5,2,-0.0241761,-0.0292267,0.156876,-0.0156318
2,5,3,-0.519903,-0.00494819,-0.00888403,-0.0145397
2,6,0,-0.00798361,0.0159459,-0.0040827,-0.00623146
2,6,1,0.423949,-0.00724381,-0.0123373,0.040993
2,6,2,-0.0105912,-0.00438885,0.0586268,-0.0117439
2,6,3,-0.0775714,-0.00349062,-0.00850255,-0.0040827
3,1,0,0,0,0,0
3,2,0,-0.00842143,0.211126,-0.0293969,0.00067144
3,2,1,0.760785,-0.0137691,0.0292681,0.21063
3,2,2,0.0516536,-0.0167381,0.0415905,-0.0165865
3,2,3,-0.473018,-0.00187523,-0.0139231,-0.0159572
3,3,0,-0.000849154,1.61904,0.0796066,0.300793
3,3,1,3.83793,0.420683,0.562543,1.38588
3,3,2,0.81824,0.0159185,0.942468,0.0851784
