x_bucket,y_bucket,direction,q_move,q_turn_r,q_turn_l,q_still
0,0,0,-0.0040827,0.00308876,-0.0253239,-0.0166172
0,0,1,0.108826,-0.00381212,-0.00770164,0.00448516
0,0,2,-0.00381212,0,0.00383639,0.0040827
0,0,3,-0.237071,-0.0166931,-0.0040827,-0.0176868
0,1,0,-0.0184335,-0.0109546,-0.0110309,-0.0154564
0,1,1,0.0729236,-0.00788499,-0.0162557,0.00143959
0,1,2,-0.0148022,-0.00408687,-0.00164741,-0.00414036
0,1,3,-0.155417,-0.0124665,-0.0040827,-0.0118464
0,2,0,-0.0294975,0.00427201,-0.0217061,-0.0234996
0,2,1,0.237545,-0.0154593,-0.0121084,0.00960175
0,2,2,-0.00414036,-0.0239913,0.027441,-0.0223006
0,2,3,-0.165449,-0.0231277,-0.0191128,-0.0210221
0,3,0,0.118721,0.824142,-0.0150455,0.0938057
0,3,1,1.47317,0.198226,0.280358,0.619379
0,3,2,0.253684,-0.0143363,0.639678,0.100627
0,3,3,-0.647178,0.030925,0.195314,-0.0317602
0,4,0,0.431516,2.01662,0.156049,0.374491
0,4,1,4.70017,1.03455,1.03664,1.95637
0,4,2,0.653638,0.189348,2.08966,0.738512
0,4,3,-0.408369,0.614829,0.348845,0.136997
0,5,0,0.0151642,0.0980583,-0.0392288,-0.0135632
0,5,1,0.567604,-0.000404919,-0.0144091,0.086947
0,5,2,0.00939565,-0.0435538,0.155531,-0.00703769
0,5,3,-0.33814,-0.0204313,-0.00214542,-0.0459828
0,6,0,-0.00758355,0.0100417,-0.00408231,-0.00389937
0,6,1,0.116463,-0.0146103,-0.00714843,0.00481457
0,6,2,-0.0144916,-0.00754352,0.00137138,-0.0172577
0,6,3,-0.0854483,-0.00381212,6.01466e-06,-0.00379418
0,7,0,-0.0112752,0.0060021,-0.0135409,-0.0169433
0,7,1,0.108809,-0.00863609,-0.00762467,0.00799702
0,7,2,-0.00810263,-0.0224305,-0.00490355,-0.00414036
0,7,3,-0.304165,-0.0190395,-0.017864,-0.0222384
1,2,0,-0.00605548,0.0600712,-0.0194073,-0.0060618
1,2,1,0.3789,-0.0209592,-0.0173342,0.0481502
1,2,2,0.00287784,-0.0196905,0.0221255,-0.0104159
1,2,3,-0.303326,-0.0040519,-0.0158774,-0.0136577
1,3,0,0.249628,0.837382,0.0478757,0.249563
1,3,1,1.63601,0.198174,0.353079,0.902771
1,3,2,0.073108,0.00602166,0.602887,0.0461553
1,3,3,-0.77747,0.29903,0.074751,-0.016527
1,4,0,0.204287,2.27926,0.0193451,0.33414
1,4,1,6.69072,1.1519,0.974333,2.49031
1,4,2,0.155312,0.03066,2.99362,0.244482
1,4,3,-0.745978,0.427959,0.0697966,0.00260819
1,5,0,-0.00443541,0.120165,-0.0150516,-0.0116776
1,5,1,0.629829,0.0168937,-0.0125127,0.212392
1,5,2,-0.0172494,-0.0315763,0.211767,0.00498095
1,5,3,-0.520175,-0.00341621,-0.0274737,-0.0204706
1,6,0,-0.0040827,0.0439596,0.000220115,-0.0154208
1,6,1,0.29946,-0.0141891,-0.0170194,0.0337965
1,6,2,-0.0106476,-0.0232343,0.0371458,-0.0215443
1,6,3,-0.0854483,-0.0128308,-0.0103841,-0.00810263
2,1,0,0,-0.0040827,0,-0.00414036
2,1,1,0.0449097,-0.0040827,0,0
2,1,2,0.00837195,0,0,0
2,2,0,-0.0234057,0.0349033,-0.0217888,-0.0191652
2,2,1,0.451333,-0.00742884,-0.0225296,0.105721
2,2,2,-0.00418439,-0.0040827,0.102438,-0.00296592
2,2,3,-0.164767,-0.0107935,-0.00949705,-0.0241076
2,3,0,0.107975,0.790853,-0.00728433,0.0786697
2,3,1,1.59738,0.286946,0.242538,0.749035
2,3,2,0.0954102,-0.0197656,0.74071,0.148241
2,3,3,-0.501765,0.123391,0.0611889,-0.014879
2,4,0,0.127125,4.91247,-0.0172643,0.0624335
2,4,1,10.396,1.02396,1.64178,5.30494
2,4,2,0.114156,-0.026224,3.38143,0.229038
2,4,3,-0.287873,-0.0108733,0.218987,-0.0222321
2,5,0,-0.0151577,0.118396,-0.0222189,-0.0157293
2,5,1,0.585664,-0.0222988,-0.00757255,0.101602
2,5,2,-0.0241761,-0.0269889,0.0638668,-0.0171852
2,5,3,-0.421111,-0.01309,-0.0153257,-0.0155114
2,6,0,-0.00798361,0.0159459,-0.0040827,-0.00623146
2,6,1,0.423949,-0.00724381,-0.0123373,0.040993
2,6,2,-0.0105912,-0.00438885,0.0586268,-0.0117439
2,6,3,-0.0775714,-0.00349062,-0.00850255,-0.0040827
3,1,0,0,0,0,0
3,2,0,-0.00842143,0.186691,-0.0333094,-0.018062
3,2,1,0.633288,-0.0135492,0.00695459,0.159494
3,2,2,-0.00083206,-0.0167381,0.0415905,-0.0165865
3,2,3,-0.421871,-0.0199611,-0.0139231,-0.0159572
3,3,0,-0.000849154,0.77819,-0.00153844,0.0860153
3,3,1,1.6588,0.275649,0.289836,0.858254
3,3,2,0.00179036,-0.0252419,0.676677,0.0376794
3,3,3,-0.508104,0.189861,0.00726358,-0.00894739
3,4,0,0.0947622,6.27891,-0.0145888,0.142364
3,4,1,17.2933,1.7139,1.70121,4.97265
3,4,2,0.337711,-0.0185778,5.92011,0.292013
3,4,3,-0.230423,0.00355543,0.294418,-0.0102293
